0.9854,1.4147,0.9176,0.926,1.372,0.7676,0.1098,0.8267,0.9799,1.3631,1.2088,1.192,0.6674,0.9804,0.7039,0.7306,NQC,0.1274,-0.3151,NQC,0.6899,0.2975,-0.5491,1.3138
1.0245,1.4119,0.8691,0.8422,1.2279,0.567,NQC,-0.3431,0.7529,1.3685,1.2088,1.192,1.1435,0.8063,0.8383,0.7633,0.5323,NQC,-0.5365,NQC,-0.0104,NQC,NQC,1.2549
0.9555,1.4105,0.9078,0.7972,1.198,0.9386,0.8299,0.7861,1.0208,1.3679,1.2088,1.192,1.187,0.8237,0.8454,0.6205,0.447,0.3694,NQC,-0.1577,0.7602,NQC,NQC,1.3028
NQC,1.5035,NQC,0.4372,NQC,NQC,0.8113,NQC,NQC,1.5094,1.2088,1.192,1.2883,0.8448,1.1424,1.0064,NQC,-0.0986,0.517,0.2516,0.2683,-0.1268,0.5769,1.2285
1.1449,1.4408,0.8893,0.8018,1.2634,0.8231,0.904,0.904,1.1604,1.4002,1.2088,1.192,1.1865,0.9712,0.9017,0.999,0.5986,-0. 2544,0.2144,-0.2574,-0.5642,-0.3218,-0.5927,1.2334
0.8833,1.7087,NQC,0.0151,NQC,NQC,NQC,-0.1345,1.1774,1.4973,1.2088,1.192,0.9725,-0.2621,0.31,0.5024,-0.5,0.4427,0.2997,0.1198,0.3798,-0.1752,0.3939,1.1872
NQC,1.4307,0.9395,0.9168,1.2915,1.0317,NQC,NQC,0.9857,1.374,1.2088,1.192,1.0306,0.9834,0.8711,0.985,NQC,0.0432,NQC,0.6624,-0.0863,NQC,NQC,1.3237
NQC,1.4384,0.9424,NQC,1.2041,1.1409,NQC,0.3782,0.8999,1.393,1.2088,1.192,1.2621,1.0126,0.9896,0.9472,NQC,NQC,NQC,0.396,NQC,NQC,NQC,1.3225
NQC,1.4297,0.9105,0.712,NQC,0.9601,0.6805,NQC,1.1619,1.3716,1.2088,1.192,0.6085,0.8176,0.9404,0.8565,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.2792
1.0004,1.4288,1.0134,0.6401,NQC,NQC,0.8941,NQC,NQC,1.2332,1.2088,1.192,NQC,NQC,NQC,NQC,0.086,0.7097,0.1629,-0.0006,0.638,0.7692,0.9354,1.0479
0.8978,1.5632,NQC,0.6618,NQC,NQC,0.8941,NQC,NQC,1.3609,1.2088,1.192,NQC,NQC,NQC,NQC,0.2238,0.6435,0.6556,0.1943,0.6404,0.7346,0.9455,1.0153
0.0818,NQC,NQC,-0.1301,NQC,NQC,0.9641,NQC,NQC,1.3038,1.2088,1.192,NQC,NQC,NQC,NQC,0.3902,0.0528,0.4478,0.6544,0.513,0.5045,0.99,1.0954
0.2972,NQC,NQC,NQC,NQC,NQC,-0.4209,NQC,NQC,1.2798,1.2088,1.192,NQC,NQC,0.8886,NQC,1.2842,0.3684,0.6592,-0.2158,0.9019,0.4091,0.7168,1.0715
0.9907,NQC,NQC,0.5541,NQC,NQC,0.9894,NQC,NQC,1.3852,1.2088,1.192,NQC,NQC,0.6003,NQC,0.6606,0.6787,NQC,NQC,0.1485,0.7708,0.0428,0.63
0.9343,NQC,NQC,0.6212,NQC,NQC,1.2438,0.8497,NQC,1.5077,1.2088,1.192,-0.0377,0.4285,0.4192,0.8105,0.3569,0.5141,0.6721,0.4798,0.6746,0.6014,0.9483,1.2965
1.1777,NQC,NQC,0.1741,NQC,NQC,0.9227,0.9823,NQC,1.421,1.2088,1.192,NQC,NQC,NQC,NQC,0.4339,0.5656,0.5963,0.5391,0.6801,0.7407,0.9496,0.9133
1.2051,1.4129,NQC,0.2633,NQC,NQC,0.9634,0.9538,NQC,1.4708,1.2088,1.192,0.9581,0.501,0.6909,0.729,0.3706,-0.5389,NQC,0.5591,-0.0204,0.3785,0.8653,0.9932
0.6515,1.5468,NQC,0.4267,1.2241,0.5225,0.6866,1.0111,1.0509,1.4433,1.2088,1.192,1.224,0.7899,0.9627,0.9725,0.9894,1.2029,NQC,-0.114,0.3035,0.477,0.0708,1.1673
1.1905,1.4182,0.8836,0.7852,1.3058,0.9968,0.4174,0.7291,0.8717,1.414,1.2088,1.192,1.1965,0.9626,1.0828,0.8308,0.3935,NQC,0.4074,NQC,NQC,NQC,NQC,1.2486
1.0293,1.4514,1.0603,0.8135,1.2412,0.962,0.4202,-0.1053,0.6686,1.4154,1.2088,1.192,0.8605,0.7793,0.9525,1.1101,-0.1035,NQC,NQC,0.0719,NQC,NQC,NQC,1.1396
0.7638,1.4108,NQC,0.4179,1.3324,NQC,NQC,NQC,1.1266,1.4037,1.2088,1.192,0.9387,1.0057,1.0136,0.9506,1.2563,NQC,NQC,-0.2575,NQC,NQC,NQC,1.2035
1.1965,1.41,0.9198,0.5944,1.2416,NQC,0.616,1.1517,0.3026,1.3633,1.2088,1.192,1.152,0.8345,0.998,0.7956,0.3278,-0.1501,NQC,0.7965,0.5406,-0.7936,-0.0588,1.3015
0.9122,1.4946,NQC,0.7283,NQC,1.116,NQC,1.3857,0.4081,1.4346,1.2088,1.192,1.0195,1.0023,0.7819,0.4613,NQC,0.4847,NQC,-0.0528,0.5738,NQC,NQC,1.2911
NQC,1.4221,0.9089,0.7444,1.3583,1.1323,0.4867,0.917,0.9576,1.4524,1.2088,1.192,0.7316,1.0344,1.0993,1.0153,NQC,-0.1059,0.8775,-0.3591,0.9626,NQC,0.7552,1.2587
1.0451,1.4437,0.907,0.8636,1.3959,1.0273,NQC,NQC,1.0642,1.3696,1.2088,1.192,1.2302,0.9274,1.1345,0.9659,0.2075,0.9671,NQC,0.0188,-0.3596,0.579,0.3389,1.2521
